Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2016-06-01 01:56:11;2016-06-01 08:44:30;74%;6:48;;;;9424
2016-06-02 01:23:16;2016-06-02 09:04:11;78%;7:40;;;;10675
2016-06-03 03:25:26;2016-06-03 09:50:46;71%;6:25;;Ate late;;9840
2016-06-04 01:33:51;2016-06-04 10:02:35;100%;8:28;;Ate late:Drank;;12200
2016-06-05 05:05:46;2016-06-05 10:43:37;67%;5:37;;Ate late:Drank;;1663
2016-06-06 02:29:54;2016-06-06 10:00:14;87%;7:30;;;;473
2016-06-07 02:27:26;2016-06-07 08:52:09;71%;6:24;;;;11820
2016-06-08 02:25:01;2016-06-08 09:00:33;77%;6:35;:);Ate late;;5885
2016-06-09 01:30:55;2016-06-09 07:15:13;72%;5:44;:|;;;7932
2016-06-10 02:48:36;2016-06-10 08:51:33;74%;6:02;:|;Drank;;15131
2016-06-11 03:22:11;2016-06-11 11:59:14;97%;8:37;:|;Drank;;10080
2016-06-12 03:21:33;2016-06-12 09:11:37;67%;5:50;:|;;;6126
2016-06-13 02:31:26;2016-06-13 09:00:21;79%;6:28;:|;Worked out;;25918
2016-06-14 03:25:53;2016-06-14 08:49:51;65%;5:23;:|;;;8294
2016-06-15 02:22:59;2016-06-15 07:12:53;58%;4:49;:|;;;10538
2016-06-16 19:39:31;2016-06-17 00:18:49;52%;4:39;:|;Drank;;12937
2016-06-17 19:00:30;2016-06-18 01:44:13;73%;6:43;:|;;;13770
2016-06-18 19:08:07;2016-06-19 01:00:41;56%;5:52;:|;;;13774
2016-06-19 21:16:04;2016-06-20 05:01:20;88%;7:45;:|;Ate late:Drank:Worked out;;19591
2016-06-20 21:40:59;2016-06-21 05:00:18;82%;7:19;:|;;;16957
2016-06-21 21:08:48;2016-06-22 04:40:22;63%;7:31;:|;Drank;;11999
2016-06-22 23:10:18;2016-06-23 07:59:44;90%;8:49;:);;;13453
2016-06-25 01:41:44;2016-06-25 08:24:11;65%;6:42;:|;;;4948
2016-06-26 01:01:47;2016-06-26 06:30:21;60%;5:28;:|;;;6442
2016-06-29 01:38:30;2016-06-29 08:00:33;63%;6:22;:|;;;6974
2016-06-30 01:57:52;2016-06-30 09:00:25;72%;7:02;:|;;;8138
2016-07-01 02:10:40;2016-07-01 11:37:59;84%;9:27;:|;;;9471
2016-07-02 03:06:27;2016-07-02 11:05:29;77%;7:59;:|;;;11410
2016-07-03 03:26:19;2016-07-03 12:12:29;79%;8:46;:|;;;13311
2016-07-04 02:08:29;2016-07-04 08:45:38;74%;6:37;:|;;;12496
2016-07-05 02:32:30;2016-07-05 09:00:09;67%;6:27;:|;;;3768
2016-07-06 02:49:30;2016-07-06 09:00:26;63%;6:10;:|;Drank;;12449
2016-07-07 03:01:19;2016-07-07 09:00:26;62%;5:59;:|;;;3811
2016-07-08 03:07:57;2016-07-08 09:01:40;56%;5:53;:|;;;10896
2016-07-09 01:44:37;2016-07-09 11:29:15;75%;9:44;:|;;;7577
2016-07-10 02:58:05;2016-07-10 11:17:54;81%;8:19;;Ate late:Worked out;;16
2016-07-11 03:16:39;2016-07-11 09:00:49;52%;5:44;;;;13103
2016-07-12 02:25:24;2016-07-12 08:58:01;66%;6:32;;;;10903
2016-07-13 02:33:40;2016-07-13 08:52:25;54%;6:18;;Drank;;13409
2016-07-14 03:17:26;2016-07-14 08:58:39;51%;5:41;;Drank;;11839
2016-07-15 02:34:37;2016-07-15 08:48:40;54%;6:14;;;;8425
2016-07-16 03:33:24;2016-07-16 12:10:58;87%;8:37;;;;12935
2016-07-17 04:13:34;2016-07-17 11:19:35;67%;7:06;;;;586
2016-07-18 02:32:14;2016-07-18 08:40:33;58%;6:08;;;;14381
2016-07-19 03:10:27;2016-07-19 09:00:17;62%;5:49;;;;8662
2016-07-20 03:08:27;2016-07-20 09:00:20;65%;5:51;;;;11776
2016-07-21 03:15:02;2016-07-21 09:01:54;63%;5:46;;;;8545
2016-07-22 02:57:07;2016-07-22 08:00:57;46%;5:03;;;;13554
2016-07-25 03:05:51;2016-07-25 09:01:59;51%;5:56;;Ate late:Worked out;;22328
2016-07-26 02:50:33;2016-07-26 08:38:03;58%;5:47;;;;6631
2016-07-27 01:02:26;2016-07-27 09:01:12;80%;7:58;;;;8358
2016-07-28 01:57:02;2016-07-28 09:00:27;55%;7:03;;;;6279
2016-07-29 02:03:15;2016-07-29 08:50:59;56%;6:47;;;;6799
2016-07-30 02:05:32;2016-07-30 07:47:15;59%;5:41;;;;8252
2016-07-31 02:32:22;2016-07-31 08:26:11;54%;5:53;;;;19655
2016-08-01 03:26:11;2016-08-01 09:48:54;50%;6:22;;;;14156
2016-08-02 00:23:44;2016-08-02 08:53:51;82%;8:30;;;;17647
2016-08-03 02:25:33;2016-08-03 08:46:09;58%;6:20;;;;19400
2016-08-04 02:06:12;2016-08-04 09:00:15;67%;6:54;;;;4338
2016-08-05 02:39:59;2016-08-05 08:59:14;63%;6:19;;;;5227
2016-08-06 02:33:47;2016-08-06 10:14:38;68%;7:40;;;;10795
2016-08-08 02:30:22;2016-08-08 08:37:36;66%;6:07;;;;13435
2016-08-09 02:44:07;2016-08-09 09:00:56;64%;6:16;;;;5501
